elapsed_s,coverage,overlap,drone_id,lat,lon,dist_m,efficiency,utilization,territory_cells
11.0,0.0037,1.0000,0,-35.363262,149.166893,0.3,0.2850,0.0000,168
11.0,0.0037,1.0000,1,-35.361976,149.165749,0.5,0.4638,0.1667,178
11.0,0.0037,1.0000,2,-35.362468,149.163897,0.4,0.2857,0.0000,188
11.0,0.0037,1.0000,3,-35.364056,149.163897,0.3,0.3822,0.0000,188
11.0,0.0037,1.0000,4,-35.364547,149.165749,0.3,0.3752,0.3333,178
21.1,0.0037,1.0000,0,-35.363262,149.166893,0.4,0.1039,0.0000,168
21.1,0.0037,1.0000,1,-35.361978,149.165749,0.7,0.0766,0.1667,178
21.1,0.0037,1.0000,2,-35.362468,149.163897,0.5,0.0917,0.0000,188
21.1,0.0037,1.0000,3,-35.364056,149.163897,0.4,0.0957,0.0000,188
21.1,0.0037,1.0000,4,-35.364547,149.165749,0.3,0.3752,0.3333,178
31.1,0.0037,1.0000,0,-35.363262,149.166893,0.4,0.0790,0.0000,168
31.1,0.0037,1.0000,1,-35.361978,149.165749,0.7,0.0432,0.1667,178
31.1,0.0037,1.0000,2,-35.362468,149.163897,0.5,0.0626,0.0000,188
31.1,0.0037,1.0000,3,-35.364056,149.163898,0.4,0.0733,0.0000,188
31.1,0.0037,1.0000,4,-35.364546,149.165749,0.4,0.0690,0.3333,178
41.2,0.0044,1.0000,0,-35.363207,149.167090,19.8,0.9559,0.0000,168
41.2,0.0044,1.0000,1,-35.361978,149.165748,0.7,0.0464,0.1429,178
41.2,0.0044,1.0000,2,-35.362398,149.163878,8.6,0.9432,0.0000,188
41.2,0.0044,1.0000,3,-35.364153,149.163836,12.9,0.9504,0.0000,188
41.2,0.0044,1.0000,4,-35.364413,149.165663,17.2,0.9737,0.2857,178
51.3,0.0144,0.6087,0,-35.363330,149.167477,61.2,0.8744,0.0000,168
51.3,0.0144,0.6087,1,-35.361513,149.166220,67.7,0.9896,0.1304,178
51.3,0.0144,0.6087,2,-35.361850,149.163443,81.1,0.9879,0.0870,188
51.3,0.0144,0.6087,3,-35.364698,149.163302,92.7,0.9646,0.1739,188
51.3,0.0144,0.6087,4,-35.364683,149.165620,47.4,0.4035,0.1304,178
61.3,0.0244,0.6923,0,-35.363336,149.167688,85.4,0.8489,0.0000,168
61.3,0.0244,0.6923,1,-35.361023,149.166215,135.3,0.8444,0.1026,178
61.3,0.0244,0.6923,2,-35.361623,149.163238,112.9,0.9868,0.0513,188
61.3,0.0244,0.6923,3,-35.364947,149.162927,137.9,0.9607,0.1282,188
61.3,0.0244,0.6923,4,-35.365582,149.165219,153.8,0.8112,0.1282,178
