elapsed_s,coverage,overlap,drone_id,lat,lon,dist_m,efficiency,utilization,territory_cells
71.3,0.0312,0.5800,3,-35.364917,149.162844,174.7,0.7742,0.1000,188
71.3,0.0312,0.5800,4,-35.365226,149.166043,168.3,0.4760,0.1000,178
81.4,0.0350,0.5357,0,-35.363317,149.167784,103.5,0.7827,0.0000,168
81.4,0.0350,0.5357,1,-35.360768,149.167181,247.4,0.7553,0.1250,178
81.4,0.0350,0.5357,2,-35.361133,149.162999,216.5,0.7818,0.1250,188
81.4,0.0350,0.5357,3,-35.365444,149.162441,244.1,0.8316,0.1429,188
81.4,0.0350,0.5357,4,-35.365486,149.165892,206.0,0.5107,0.1250,178
91.5,0.0406,0.5385,0,-35.363268,149.167837,118.2,0.7243,0.0000,168
91.5,0.0406,0.5385,1,-35.360402,149.167673,307.8,0.8030,0.1385,178
91.5,0.0406,0.5385,2,-35.361221,149.162542,259.0,0.7152,0.1231,188
91.5,0.0406,0.5385,3,-35.365549,149.162442,274.8,0.7713,0.1231,188
91.5,0.0406,0.5385,4,-35.365969,149.165771,261.5,0.6047,0.1231,178
101.5,0.0431,0.5072,0,-35.363157,149.167879,141.7,0.6363,0.0145,168
101.5,0.0431,0.5072,1,-35.360402,149.167673,307.8,0.8030,0.1304,178
101.5,0.0431,0.5072,2,-35.361225,149.162485,264.7,0.7116,0.1159,188
101.5,0.0431,0.5072,3,-35.365514,149.162433,322.5,0.6495,0.1304,188
101.5,0.0431,0.5072,4,-35.365783,149.166140,304.0,0.4670,0.1159,178
111.6,0.0462,0.5270,0,-35.363151,149.167876,156.7,0.5743,0.0135,168
111.6,0.0462,0.5270,1,-35.360402,149.167673,307.8,0.8030,0.1216,178
111.6,0.0462,0.5270,2,-35.360937,149.162706,302.5,0.6662,0.1216,188
111.6,0.0462,0.5270,3,-35.365750,149.162522,359.7,0.6277,0.1216,188
111.6,0.0462,0.5270,4,-35.365923,149.166627,353.3,0.4883,0.1351,178
121.6,0.0544,0.4483,0,-35.363166,149.167859,167.4,0.5273,0.0115,168
121.6,0.0544,0.4483,1,-35.360698,149.166304,441.1,0.3419,0.1839,178
121.6,0.0544,0.4483,2,-35.360769,149.162874,335.3,0.6274,0.1034,188
121.6,0.0544,0.4483,3,-35.365477,149.162705,410.2,0.4666,0.1034,188
121.6,0.0544,0.4483,4,-35.365649,149.166479,393.9,0.3537,0.1149,178
131.7,0.0563,0.4667,0,-35.363162,149.167920,178.1,0.5265,0.0111,168
131.7,0.0563,0.4667,1,-35.360698,149.166304,441.1,0.3419,0.1778,178
131.7,0.0563,0.4667,2,-35.361639,149.163287,438.9,0.2450,0.1111,188
131.7,0.0563,0.4667,3,-35.365552,149.162651,426.4,0.4715,0.1000,188
131.7,0.0563,0.4667,4,-35.365965,149.166272,443.1,0.3716,0.1222,178
