elapsed_s,coverage,overlap,drone_id,lat,lon,dist_m,efficiency,utilization,territory_cells
11.0,0.0025,1.0000,0,-35.363262,149.166893,0.0,0.6827,0.0000,168
11.0,0.0025,1.0000,1,-35.361978,149.165749,0.0,1.0000,0.0000,178
11.0,0.0025,1.0000,2,-35.362468,149.163897,0.1,0.6294,0.0000,188
11.0,0.0025,1.0000,3,-35.364056,149.163897,0.0,1.0000,0.0000,188
11.0,0.0025,1.0000,4,-35.364546,149.165749,0.0,1.0000,0.2500,178
21.1,0.0031,1.0000,0,-35.363262,149.166893,0.1,0.4680,0.0000,168
21.1,0.0031,1.0000,1,-35.361978,149.165749,0.0,0.9207,0.2000,178
21.1,0.0031,1.0000,2,-35.362468,149.163897,0.1,0.4316,0.0000,188
21.1,0.0031,1.0000,3,-35.364056,149.163898,0.0,0.4924,0.0000,188
21.1,0.0031,1.0000,4,-35.364546,149.165749,0.1,0.4574,0.2000,178
31.1,0.0031,1.0000,0,-35.363262,149.166893,0.1,0.3561,0.0000,168
31.1,0.0031,1.0000,1,-35.361978,149.165749,0.0,0.9207,0.2000,178
31.1,0.0031,1.0000,2,-35.362468,149.163897,0.1,0.4316,0.0000,188
31.1,0.0031,1.0000,3,-35.364056,149.163898,0.1,0.3247,0.0000,188
31.1,0.0031,1.0000,4,-35.364546,149.165749,0.1,0.4574,0.2000,178
41.2,0.0069,0.8182,0,-35.363253,149.167056,19.3,0.7683,0.0000,168
41.2,0.0069,0.8182,1,-35.361978,149.165748,0.0,0.7879,0.0909,178
41.2,0.0069,0.8182,2,-35.362318,149.163548,35.9,0.9988,0.0000,188
41.2,0.0069,0.8182,3,-35.364155,149.163780,15.5,0.9905,0.0000,188
41.2,0.0069,0.8182,4,-35.364896,149.165935,42.9,0.9885,0.2727,178
51.2,0.0175,0.7500,0,-35.363307,149.167603,70.7,0.9138,0.0000,168
51.2,0.0175,0.7500,1,-35.361253,149.165793,80.7,0.9997,0.1429,178
51.2,0.0175,0.7500,2,-35.361891,149.163058,104.0,0.9568,0.1429,188
51.2,0.0175,0.7500,3,-35.364398,149.163556,51.6,0.9510,0.0357,188
51.2,0.0175,0.7500,4,-35.365290,149.166156,91.1,0.9934,0.1071,178
61.3,0.0238,0.6579,0,-35.363306,149.167699,84.5,0.8674,0.0000,168
61.3,0.0238,0.6579,1,-35.360945,149.166718,174.0,0.8306,0.1842,178
61.3,0.0238,0.6579,2,-35.361891,149.163058,104.0,0.9568,0.1053,188
61.3,0.0238,0.6579,3,-35.364632,149.162907,124.9,0.8833,0.1316,188
61.3,0.0238,0.6579,4,-35.365569,149.166246,124.3,0.9837,0.1316,178
71.3,0.0312,0.5800,0,-35.363276,149.167728,94.1,0.8044,0.0000,168
71.3,0.0312,0.5800,1,-35.360852,149.167144,214.0,0.8313,0.1400,178
71.3,0.0312,0.5800,2,-35.361032,149.162880,200.9,0.9173,0.1400,188
