elapsed_s,coverage,overlap,drone_id,lat,lon,dist_m,efficiency,utilization,territory_cells
11.0,0.0019,1.0000,0,-35.363262,149.166894,0.5,0.3184,0.0000,328
11.0,0.0019,1.0000,1,-35.362092,149.164408,0.4,0.3307,0.0000,286
11.0,0.0019,1.0000,2,-35.364432,149.164409,0.5,0.3046,0.0000,286
21.1,0.0019,1.0000,0,-35.363262,149.166893,0.6,0.0785,0.0000,328
21.1,0.0019,1.0000,1,-35.362093,149.164409,0.5,0.0977,0.0000,286
21.1,0.0019,1.0000,2,-35.364432,149.164409,0.6,0.0658,0.0000,286
31.1,0.0019,1.0000,0,-35.363262,149.166893,0.6,0.0524,0.0000,328
31.1,0.0019,1.0000,1,-35.362093,149.164409,0.6,0.0709,0.0000,286
31.1,0.0019,1.0000,2,-35.364431,149.164409,0.6,0.0455,0.0000,286
