elapsed_s,coverage,overlap,drone_id,lat,lon,dist_m,efficiency,utilization,territory_cells
58.2,0.0269,0.9767,0,-35.362715,149.163909,286.1,0.9684,0.0465,88
58.2,0.0269,0.9767,1,-35.363284,149.166800,721.4,0.2406,0.1163,189
58.2,0.0269,0.9767,2,-35.364018,149.164006,903.8,0.1908,0.1163,177
58.2,0.0269,0.9767,3,-35.364545,149.165749,177.0,0.9962,0.1860,257
58.2,0.0269,0.9767,4,-35.364006,149.163999,453.7,0.3735,0.0000,189
68.3,0.0288,0.9348,0,-35.364376,149.165525,1017.5,0.1721,0.0435,88
68.3,0.0288,0.9348,1,-35.362107,149.165626,1244.7,0.0146,0.1304,189
68.3,0.0288,0.9348,2,-35.363971,149.164018,1555.9,0.1075,0.1304,177
68.3,0.0288,0.9348,3,-35.363975,149.164019,869.8,0.0163,0.1957,257
68.3,0.0288,0.9348,4,-35.363967,149.164015,972.5,0.1745,0.0000,189
78.5,0.0319,0.9216,0,-35.363016,149.163934,1552.8,0.1735,0.0392,88
78.5,0.0319,0.9216,1,-35.362975,149.163925,2016.0,0.0987,0.1373,189
78.5,0.0319,0.9216,2,-35.363017,149.163938,1921.9,0.0318,0.1176,177
78.5,0.0319,0.9216,3,-35.363944,149.164038,1789.6,0.0099,0.1765,257
78.5,0.0319,0.9216,4,-35.363016,149.163934,1839.5,0.1285,0.0000,189
88.8,0.0344,0.9273,0,-35.363616,149.166439,2008.8,0.0283,0.0727,88
88.8,0.0344,0.9273,1,-35.363447,149.166414,2349.2,0.0740,0.1455,189
88.8,0.0344,0.9273,2,-35.364145,149.164019,2265.4,0.0824,0.1273,177
88.8,0.0344,0.9273,3,-35.362859,149.164165,2533.5,0.0534,0.1636,257
88.8,0.0344,0.9273,4,-35.362830,149.164199,2850.1,0.0831,0.0000,189
99.3,0.0462,0.9459,0,-35.362126,149.164957,3042.7,0.0710,0.1081,88
99.3,0.0462,0.9459,1,-35.364231,149.166531,3264.1,0.0797,0.1757,189
99.3,0.0462,0.9459,2,-35.364605,149.163789,2704.7,0.0878,0.1081,177
99.3,0.0462,0.9459,3,-35.364557,149.163867,3092.9,0.0180,0.1757,257
99.3,0.0462,0.9459,4,-35.364580,149.163842,3765.4,0.0459,0.0000,189
109.4,0.0587,0.9574,0,-35.365039,149.166631,3982.8,0.0499,0.1383,88
109.4,0.0587,0.9574,1,-35.364714,149.163702,4174.3,0.0853,0.1596,189
109.4,0.0587,0.9574,2,-35.361601,149.165597,3848.3,0.0472,0.0957,177
109.4,0.0587,0.9574,3,-35.364749,149.163711,3965.2,0.0199,0.1383,257
109.4,0.0587,0.9574,4,-35.364757,149.163716,4825.5,0.0385,0.0000,189
119.5,0.0656,0.9143,0,-35.364958,149.163730,4831.6,0.0710,0.1238,88
119.5,0.0656,0.9143,1,-35.364917,149.163776,5404.9,0.0689,0.1429,189
119.5,0.0656,0.9143,2,-35.361625,149.163204,5318.8,0.0212,0.1143,177
119.5,0.0656,0.9143,3,-35.364923,149.163769,5484.4,0.0177,0.1238,257
119.5,0.0656,0.9143,4,-35.364926,149.163765,5533.8,0.0334,0.0286,189
129.5,0.0700,0.8839,0,-35.365115,149.166630,6161.0,0.0336,0.1161,88
129.5,0.0700,0.8839,1,-35.361410,149.163083,6595.4,0.0379,0.1518,189
129.5,0.0700,0.8839,2,-35.360839,149.166448,6791.2,0.0432,0.1250,177
129.5,0.0700,0.8839,3,-35.365107,149.166629,7631.2,0.0359,0.1161,257
129.5,0.0700,0.8839,4,-35.361400,149.163073,7109.9,0.0598,0.0268,189
139.6,0.0725,0.7931,0,-35.361429,149.163011,7590.8,0.0535,0.1293,88
139.6,0.0725,0.7931,1,-35.364013,149.167743,8465.9,0.0342,0.1466,189
139.6,0.0725,0.7931,2,-35.365536,149.166778,8532.0,0.0503,0.1207,177
139.6,0.0725,0.7931,3,-35.365490,149.166760,9532.8,0.0319,0.1121,257
139.6,0.0725,0.7931,4,-35.361445,149.163031,8818.4,0.0480,0.0259,189
